date,copper,coal,oil
1990-01-01,2365.55699088135,38,20.9891304347826
1990-02-01,2358.9434,38,19.7025
1990-03-01,2625.70272275848,38,18.4659090909091
1990-04-01,2685.22689088135,38,16.9261904761905
1990-05-01,2740.34239088135,40.5,16.6717391304348
1990-06-01,2583.81490911865,40.5,15.5523809523809
1990-07-01,2769.00302275848,40.5,17.4659090909091
1990-08-01,2956.39555455933,40.5,26.9478260869565
1990-09-01,3040.17084544067,40.5,34.6575
1990-10-01,2742.54697724152,40.5,36.2652173913043
1990-11-01,2583.81490911865,40.5,32.9636363636364
1990-12-01,2484.60700911865,40.5,27.8714285714286
1991-01-01,2447.1282,40.5,23.9847826086957
1991-02-01,2447.1282,40.5,19.2925
1991-03-01,2409.64939088135,39.5,19.5619047619048
1991-04-01,2471.37932275848,39.5,19.3386363636364
1991-05-01,2340.4246727356,39.5,19.2173913043478
1991-06-01,2218.06802725677,39.5,18.1725
1991-07-01,2231.25534581909,39.5,19.45
1991-08-01,2236.18677692413,39.5,19.775
1991-09-01,2318.58300291138,39.5,20.5404761904762
1991-10-01,2360.64557547607,39.5,22.2095652173913
1991-11-01,2375.66037788696,39.5,21.1071428571429
1991-12-01,2205.91849749756,39.5,18.2545454545455
1992-01-01,2150.57962901611,39.5,18.1565217391304
1992-02-01,2208.89225860596,39.5,18.11
1992-03-01,2231.78550956421,39.5,17.6590909090909
1992-04-01,2214.16681599274,39.5,19.0159090909091
1992-05-01,2219.31505581207,39.5,19.9809523809524
1992-06-01,2296.44193858643,39.5,21.1886363636364
1992-07-01,2527.28502240143,39.5,20.3260869565217
1992-08-01,2513.46998458252,39.5,19.7928571428571
1992-09-01,2419.61418178101,39.5,20.2886363636364
1992-10-01,2262.45696237183,37.25,20.3113636363636
1992-11-01,2161.78909368286,35,19.1961904761905
1992-12-01,2211.95028749237,35,18.2726086956522
1993-01-01,2264.21397077332,35,17.5071428571429
1993-02-01,2212.18139313507,31,18.4455
1993-03-01,2152.38020099945,31,18.8426086956522
1993-04-01,1953.62060192108,31,18.7827272727273
1993-05-01,1799.35169844818,31,18.5780952380952
1993-06-01,1857.87070840454,31,17.6340909090909
1993-07-01,1927.33981992645,31,16.8086363636364
1993-08-01,1951.07137548676,31,16.8368181818182
1993-09-01,1858.24999750519,31,16.1395454545455
1993-10-01,1646.99992897491,31,16.642380952381
1993-11-01,1632.56810484467,31,15.24
1993-12-01,1723.6250736618,31,13.5595652173913
1994-01-01,1807.07136699066,31,14.2738095238095
1994-02-01,1865.07501472778,31,13.7695
1994-03-01,1913.17391866455,29.5,13.77
1994-04-01,1881.36846713562,29.5,15.0938095238095
1994-05-01,2144.50007046051,31.4,16.4209090909091
1994-06-01,2363.09102303009,33.6,17.1054545454545
1994-07-01,2447.23803404999,33.1,18.1247619047619
1994-08-01,2409.74997397766,33.1,16.9126086956522
1994-09-01,2504.84103139343,33.1,16.0386363636364
1994-10-01,2546.02375416412,33.1,16.5509523809524
1994-11-01,2803.54541098175,33.1,17.4140909090909
1994-12-01,2980.69999645081,36.1,16.0413636363636
1995-01-01,3003.26189506836,37.1,16.6540909090909
1995-02-01,2870.45015814514,37.6,17.271
1995-03-01,2919.67397804871,38.35,17.2365217391304
1995-04-01,2894.88882296448,37.1,18.824
1995-05-01,2771.57125569763,38.77,18.6778260869565
1995-06-01,2987.68194348755,40.77,17.3531818181818
1995-07-01,3076.4500581665,41.05,16.0809523809524
1995-08-01,3040.13619641418,40.88,16.2552173913043
1995-09-01,2910.42504276428,40.93,16.6919047619048
1995-10-01,2810.06817431793,40.97,16.1936363636364
1995-11-01,2981.61903664856,39.59,16.9104545454545
1995-12-01,2918.21064537659,39.35,18.2361904761905
1996-01-01,2604.99992943115,39.37,18.1352173913043
1996-02-01,2544.66672335968,39.28,17.8461904761905
1996-03-01,2563.34994940033,39.01,19.8095238095238
1996-04-01,2594.17496803894,39.33,21.2004545454545
1996-05-01,2658.76193080902,38.2,19.3191304347826
1996-06-01,2177.59998270721,38.2,18.5775
1996-07-01,1983.93479971771,38.4,19.7147826086956
1996-08-01,2017.85720584564,38.35,20.6059090909091
1996-09-01,1935.07143060913,38.1,23.0814285714286
1996-10-01,1960.19567519531,37.6,24.2734782608696
1996-11-01,2215.42864607391,35.7,23.102380952381
1996-12-01,2264.59527826385,35.35,24.0363636363636
1997-01-01,2427.27279402924,35.23,23.605652173913
1997-02-01,2406.63156159363,34.6,20.9205
